"MetricName","MetricRoles","MetricUnit","MetricValue"
"Elapsed Time","Any = DriverToReference","s","669.689"
"Elapsed Time","Any = ForcepToReference","s","669.689"
"Path Length","Any = DriverToReference","mm","18520.7"
"Path Length","Any = ForcepToReference","mm","23502.6"
"Elapsed Time","Any = DriverTipToDriver","s","669.689"
"Path Length","Any = DriverTipToDriver","mm","32953.4"
"Elapsed Time","Any = ForcepTipToForcep","s","669.689"
"Path Length","Any = ForcepTipToForcep","mm","27169.7"
"Average Velocity","Any = DriverTipToDriver","mm/s","62.0198"
"Average Velocity","Any = ForcepTipToForcep","mm/s","43.2795"
"Bimanual Dexterity: Translational & Rotational","LeftTool = ForcepTipToForcep, RightTool = DriverTipToDriver","rho","0.021320662332850703	-0.054023029484148305"
"Motion Smoothness","Any = DriverTipToDriver","mm/s^3","1.03989e+06"
"Motion Smoothness","Any = ForcepTipToForcep","mm/s^3","505907"
"Path Inefficiency","Any = DriverTipToDriver","%","20198.4"
"Path Inefficiency","Any = ForcepTipToForcep","%","5067.12"
"Rotational Actions","Any = DriverTipToDriver","count","113"
"Rotational Actions","Any = ForcepTipToForcep","count","140"
"Rotation Total","Any = DriverTipToDriver","deg","24673.1"
"Rotation Total","Any = ForcepTipToForcep","deg","36666.8"
"Translational Actions","Any = DriverTipToDriver","count","174"
"Translational Actions","Any = ForcepTipToForcep","count","140"
