"MetricName","MetricRoles","MetricUnit","MetricValue"
"Elapsed Time","Any = DriverToReference","s","232.866"
"Elapsed Time","Any = ForcepToReference","s","232.866"
"Path Length","Any = DriverToReference","mm","7828.38"
"Path Length","Any = ForcepToReference","mm","9477.58"
"Elapsed Time","Any = DriverTipToDriver","s","232.866"
"Path Length","Any = DriverTipToDriver","mm","9885.33"
"Elapsed Time","Any = ForcepTipToForcep","s","232.866"
"Path Length","Any = ForcepTipToForcep","mm","9856.1"
"Average Velocity","Any = DriverTipToDriver","mm/s","120.081"
"Average Velocity","Any = ForcepTipToForcep","mm/s","107.671"
"Bimanual Dexterity: Translational & Rotational","LeftTool = ForcepTipToForcep, RightTool = DriverTipToDriver","rho","0.08544606216953575	-0.10780282797070447"
"Motion Smoothness","Any = DriverTipToDriver","mm/s^3","386811"
"Motion Smoothness","Any = ForcepTipToForcep","mm/s^3","293062"
"Path Inefficiency","Any = DriverTipToDriver","%","5134.73"
"Path Inefficiency","Any = ForcepTipToForcep","%","9185.17"
"Rotational Actions","Any = DriverTipToDriver","count","27"
"Rotational Actions","Any = ForcepTipToForcep","count","25"
"Rotation Total","Any = DriverTipToDriver","deg","4903.99"
"Rotation Total","Any = ForcepTipToForcep","deg","7432.77"
"Translational Actions","Any = DriverTipToDriver","count","27"
"Translational Actions","Any = ForcepTipToForcep","count","30"
