"MetricName","MetricRoles","MetricUnit","MetricValue"
"Elapsed Time","Any = DriverToReference","s","325.568"
"Elapsed Time","Any = ForcepToReference","s","325.568"
"Path Length","Any = DriverToReference","mm","12457.9"
"Path Length","Any = ForcepToReference","mm","17061.2"
"Elapsed Time","Any = DriverTipToDriver","s","325.568"
"Path Length","Any = DriverTipToDriver","mm","15891.4"
"Elapsed Time","Any = ForcepTipToForcep","s","325.568"
"Path Length","Any = ForcepTipToForcep","mm","14793.1"
"Average Velocity","Any = DriverTipToDriver","mm/s","67.8699"
"Average Velocity","Any = ForcepTipToForcep","mm/s","58.4161"
"Bimanual Dexterity: Translational & Rotational","LeftTool = ForcepTipToForcep, RightTool = DriverTipToDriver","rho","0.06450140477329361	-0.05868034549127063"
"Motion Smoothness","Any = DriverTipToDriver","mm/s^3","600349"
"Motion Smoothness","Any = ForcepTipToForcep","mm/s^3","339846"
"Path Inefficiency","Any = DriverTipToDriver","%","7165.22"
"Path Inefficiency","Any = ForcepTipToForcep","%","10843.6"
"Rotational Actions","Any = DriverTipToDriver","count","41"
"Rotational Actions","Any = ForcepTipToForcep","count","70"
"Rotation Total","Any = DriverTipToDriver","deg","8701.19"
"Rotation Total","Any = ForcepTipToForcep","deg","14988.9"
"Translational Actions","Any = DriverTipToDriver","count","57"
"Translational Actions","Any = ForcepTipToForcep","count","102"
