"MetricName","MetricRoles","MetricUnit","MetricValue"
"Elapsed Time","Any = DriverToReference","s","266.28"
"Elapsed Time","Any = ForcepToReference","s","266.28"
"Path Length","Any = DriverToReference","mm","9443.71"
"Path Length","Any = ForcepToReference","mm","9954.87"
"Elapsed Time","Any = DriverTipToDriver","s","266.28"
"Path Length","Any = DriverTipToDriver","mm","12115.2"
"Elapsed Time","Any = ForcepTipToForcep","s","266.28"
"Path Length","Any = ForcepTipToForcep","mm","13522.6"
"Average Velocity","Any = DriverTipToDriver","mm/s","76.0533"
"Average Velocity","Any = ForcepTipToForcep","mm/s","70.9515"
"Bimanual Dexterity: Translational & Rotational","LeftTool = ForcepTipToForcep, RightTool = DriverTipToDriver","rho","0.42157275662092175	-0.03707473023205037"
"Motion Smoothness","Any = DriverTipToDriver","mm/s^3","2.24538e+08"
"Motion Smoothness","Any = ForcepTipToForcep","mm/s^3","1.97888e+08"
"Path Inefficiency","Any = DriverTipToDriver","%","3981.36"
"Path Inefficiency","Any = ForcepTipToForcep","%","19670.7"
"Rotational Actions","Any = DriverTipToDriver","count","28"
"Rotational Actions","Any = ForcepTipToForcep","count","68"
"Rotation Total","Any = DriverTipToDriver","deg","6482.88"
"Rotation Total","Any = ForcepTipToForcep","deg","16458.8"
"Translational Actions","Any = DriverTipToDriver","count","40"
"Translational Actions","Any = ForcepTipToForcep","count","89"
