"MetricName","MetricRoles","MetricUnit","MetricValue"
"Elapsed Time","Any = DriverToReference","s","423.791"
"Elapsed Time","Any = ForcepToReference","s","423.791"
"Path Length","Any = DriverToReference","mm","13218.4"
"Path Length","Any = ForcepToReference","mm","23810.4"
"Elapsed Time","Any = DriverTipToDriver","s","423.791"
"Path Length","Any = DriverTipToDriver","mm","16636.8"
"Elapsed Time","Any = ForcepTipToForcep","s","423.791"
"Path Length","Any = ForcepTipToForcep","mm","33204.3"
"Average Velocity","Any = DriverTipToDriver","mm/s","49.7249"
"Average Velocity","Any = ForcepTipToForcep","mm/s","86.1619"
"Bimanual Dexterity: Translational & Rotational","LeftTool = ForcepTipToForcep, RightTool = DriverTipToDriver","rho","0.089544122173297	-0.0641453440115686"
"Motion Smoothness","Any = DriverTipToDriver","mm/s^3","484512"
"Motion Smoothness","Any = ForcepTipToForcep","mm/s^3","731208"
"Path Inefficiency","Any = DriverTipToDriver","%","8294.92"
"Path Inefficiency","Any = ForcepTipToForcep","%","6178.52"
"Rotational Actions","Any = DriverTipToDriver","count","60"
"Rotational Actions","Any = ForcepTipToForcep","count","114"
"Rotation Total","Any = DriverTipToDriver","deg","11683.2"
"Rotation Total","Any = ForcepTipToForcep","deg","29690.1"
"Translational Actions","Any = DriverTipToDriver","count","81"
"Translational Actions","Any = ForcepTipToForcep","count","98"
