"MetricName","MetricRoles","MetricUnit","MetricValue"
"Elapsed Time","Any = DriverToReference","s","322.287"
"Elapsed Time","Any = ForcepToReference","s","322.287"
"Path Length","Any = DriverToReference","mm","9320.89"
"Path Length","Any = ForcepToReference","mm","21695.6"
"Elapsed Time","Any = DriverTipToDriver","s","322.287"
"Path Length","Any = DriverTipToDriver","mm","12523.5"
"Elapsed Time","Any = ForcepTipToForcep","s","322.287"
"Path Length","Any = ForcepTipToForcep","mm","21515.1"
"Average Velocity","Any = DriverTipToDriver","mm/s","48.406"
"Average Velocity","Any = ForcepTipToForcep","mm/s","84.7772"
"Bimanual Dexterity: Translational & Rotational","LeftTool = ForcepTipToForcep, RightTool = DriverTipToDriver","rho","0.11981003093157815	-0.0619362236885906"
"Motion Smoothness","Any = DriverTipToDriver","mm/s^3","534712"
"Motion Smoothness","Any = ForcepTipToForcep","mm/s^3","569674"
"Path Inefficiency","Any = DriverTipToDriver","%","4214.66"
"Path Inefficiency","Any = ForcepTipToForcep","%","5221.95"
"Rotational Actions","Any = DriverTipToDriver","count","47"
"Rotational Actions","Any = ForcepTipToForcep","count","80"
"Rotation Total","Any = DriverTipToDriver","deg","9232.15"
"Rotation Total","Any = ForcepTipToForcep","deg","19604.8"
"Translational Actions","Any = DriverTipToDriver","count","62"
"Translational Actions","Any = ForcepTipToForcep","count","82"
