"MetricName","MetricRoles","MetricUnit","MetricValue"
"Elapsed Time","Any = DriverToReference","s","313.293"
"Elapsed Time","Any = ForcepToReference","s","313.293"
"Path Length","Any = DriverToReference","mm","11697.6"
"Path Length","Any = ForcepToReference","mm","19791.7"
"Elapsed Time","Any = DriverTipToDriver","s","313.293"
"Path Length","Any = DriverTipToDriver","mm","15409.9"
"Elapsed Time","Any = ForcepTipToForcep","s","313.293"
"Path Length","Any = ForcepTipToForcep","mm","21474.1"
"Average Velocity","Any = DriverTipToDriver","mm/s","70.764"
"Average Velocity","Any = ForcepTipToForcep","mm/s","96.5771"
"Bimanual Dexterity: Translational & Rotational","LeftTool = ForcepTipToForcep, RightTool = DriverTipToDriver","rho","0.040892614884265086	-0.07725015038626616"
"Motion Smoothness","Any = DriverTipToDriver","mm/s^3","633457"
"Motion Smoothness","Any = ForcepTipToForcep","mm/s^3","473729"
"Path Inefficiency","Any = DriverTipToDriver","%","3749.64"
"Path Inefficiency","Any = ForcepTipToForcep","%","5234.94"
"Rotational Actions","Any = DriverTipToDriver","count","57"
"Rotational Actions","Any = ForcepTipToForcep","count","70"
"Rotation Total","Any = DriverTipToDriver","deg","10375.9"
"Rotation Total","Any = ForcepTipToForcep","deg","18843.4"
"Translational Actions","Any = DriverTipToDriver","count","52"
"Translational Actions","Any = ForcepTipToForcep","count","74"
