"MetricName","MetricRoles","MetricUnit","MetricValue"
"Elapsed Time","Any = DriverToReference","s","529.883"
"Elapsed Time","Any = ForcepToReference","s","529.883"
"Path Length","Any = DriverToReference","mm","20768.8"
"Path Length","Any = ForcepToReference","mm","18724.8"
"Elapsed Time","Any = DriverTipToDriver","s","529.883"
"Path Length","Any = DriverTipToDriver","mm","28763.9"
"Elapsed Time","Any = ForcepTipToForcep","s","529.883"
"Path Length","Any = ForcepTipToForcep","mm","19870.8"
"Average Velocity","Any = DriverTipToDriver","mm/s","60.3814"
"Average Velocity","Any = ForcepTipToForcep","mm/s","37.0015"
"Bimanual Dexterity: Translational & Rotational","LeftTool = ForcepTipToForcep, RightTool = DriverTipToDriver","rho","0.03941154753652965	-0.04512177765722099"
"Motion Smoothness","Any = DriverTipToDriver","mm/s^3","854851"
"Motion Smoothness","Any = ForcepTipToForcep","mm/s^3","467439"
"Path Inefficiency","Any = DriverTipToDriver","%","33264.9"
"Path Inefficiency","Any = ForcepTipToForcep","%","8410.55"
"Rotational Actions","Any = DriverTipToDriver","count","98"
"Rotational Actions","Any = ForcepTipToForcep","count","97"
"Rotation Total","Any = DriverTipToDriver","deg","20470.9"
"Rotation Total","Any = ForcepTipToForcep","deg","18064.9"
"Translational Actions","Any = DriverTipToDriver","count","127"
"Translational Actions","Any = ForcepTipToForcep","count","124"
