"MetricName","MetricRoles","MetricUnit","MetricValue"
"Elapsed Time","Any = DriverToReference","s","251.755"
"Elapsed Time","Any = ForcepToReference","s","251.755"
"Path Length","Any = DriverToReference","mm","8998.42"
"Path Length","Any = ForcepToReference","mm","16599.8"
"Elapsed Time","Any = DriverTipToDriver","s","251.755"
"Path Length","Any = DriverTipToDriver","mm","14848"
"Elapsed Time","Any = ForcepTipToForcep","s","251.755"
"Path Length","Any = ForcepTipToForcep","mm","15314"
"Average Velocity","Any = DriverTipToDriver","mm/s","69.2575"
"Average Velocity","Any = ForcepTipToForcep","mm/s","68.9243"
"Bimanual Dexterity: Translational & Rotational","LeftTool = ForcepTipToForcep, RightTool = DriverTipToDriver","rho","0.1026783411081223	-0.07494384675467824"
"Motion Smoothness","Any = DriverTipToDriver","mm/s^3","511916"
"Motion Smoothness","Any = ForcepTipToForcep","mm/s^3","318304"
"Path Inefficiency","Any = DriverTipToDriver","%","4263.11"
"Path Inefficiency","Any = ForcepTipToForcep","%","6005.49"
"Rotational Actions","Any = DriverTipToDriver","count","64"
"Rotational Actions","Any = ForcepTipToForcep","count","67"
"Rotation Total","Any = DriverTipToDriver","deg","13786"
"Rotation Total","Any = ForcepTipToForcep","deg","16211.4"
"Translational Actions","Any = DriverTipToDriver","count","74"
"Translational Actions","Any = ForcepTipToForcep","count","88"
