"MetricName","MetricRoles","MetricUnit","MetricValue"
"Elapsed Time","Any = DriverToReference","s","524.574"
"Elapsed Time","Any = ForcepToReference","s","524.574"
"Path Length","Any = DriverToReference","mm","10882.8"
"Path Length","Any = ForcepToReference","mm","28916.9"
"Elapsed Time","Any = DriverTipToDriver","s","524.574"
"Path Length","Any = DriverTipToDriver","mm","14142.5"
"Elapsed Time","Any = ForcepTipToForcep","s","524.574"
"Path Length","Any = ForcepTipToForcep","mm","33062.8"
"Average Velocity","Any = DriverTipToDriver","mm/s","33.7545"
"Average Velocity","Any = ForcepTipToForcep","mm/s","73.4547"
"Bimanual Dexterity: Translational & Rotational","LeftTool = ForcepTipToForcep, RightTool = DriverTipToDriver","rho","0.05473398450809427	-0.0427119646658732"
"Motion Smoothness","Any = DriverTipToDriver","mm/s^3","470599"
"Motion Smoothness","Any = ForcepTipToForcep","mm/s^3","434292"
"Path Inefficiency","Any = DriverTipToDriver","%","3383.66"
"Path Inefficiency","Any = ForcepTipToForcep","%","6434.16"
"Rotational Actions","Any = DriverTipToDriver","count","43"
"Rotational Actions","Any = ForcepTipToForcep","count","96"
"Rotation Total","Any = DriverTipToDriver","deg","6980.43"
"Rotation Total","Any = ForcepTipToForcep","deg","23513.5"
"Translational Actions","Any = DriverTipToDriver","count","42"
"Translational Actions","Any = ForcepTipToForcep","count","141"
