"MetricName","MetricRoles","MetricUnit","MetricValue"
"Elapsed Time","Any = DriverToReference","s","515.484"
"Elapsed Time","Any = ForcepToReference","s","515.484"
"Path Length","Any = DriverToReference","mm","12006.3"
"Path Length","Any = ForcepToReference","mm","23328.6"
"Elapsed Time","Any = DriverTipToDriver","s","515.484"
"Path Length","Any = DriverTipToDriver","mm","14628.3"
"Elapsed Time","Any = ForcepTipToForcep","s","515.484"
"Path Length","Any = ForcepTipToForcep","mm","28144.8"
"Average Velocity","Any = DriverTipToDriver","mm/s","32.7456"
"Average Velocity","Any = ForcepTipToForcep","mm/s","59.2278"
"Bimanual Dexterity: Translational & Rotational","LeftTool = ForcepTipToForcep, RightTool = DriverTipToDriver","rho","0.03401238825282738	-0.046501193636561286"
"Motion Smoothness","Any = DriverTipToDriver","mm/s^3","369265"
"Motion Smoothness","Any = ForcepTipToForcep","mm/s^3","356460"
"Path Inefficiency","Any = DriverTipToDriver","%","5857.2"
"Path Inefficiency","Any = ForcepTipToForcep","%","7768.27"
"Rotational Actions","Any = DriverTipToDriver","count","48"
"Rotational Actions","Any = ForcepTipToForcep","count","99"
"Rotation Total","Any = DriverTipToDriver","deg","7649.37"
"Rotation Total","Any = ForcepTipToForcep","deg","26674.3"
"Translational Actions","Any = DriverTipToDriver","count","46"
"Translational Actions","Any = ForcepTipToForcep","count","159"
