"MetricName","MetricRoles","MetricUnit","MetricValue"
"Elapsed Time","Any = DriverToReference","s","180.516"
"Elapsed Time","Any = ForcepToReference","s","180.516"
"Path Length","Any = DriverToReference","mm","5124.28"
"Path Length","Any = ForcepToReference","mm","9121.72"
"Elapsed Time","Any = DriverTipToDriver","s","180.516"
"Path Length","Any = DriverTipToDriver","mm","8349.08"
"Elapsed Time","Any = ForcepTipToForcep","s","180.516"
"Path Length","Any = ForcepTipToForcep","mm","8830.53"
"Average Velocity","Any = DriverTipToDriver","mm/s","59.3092"
"Average Velocity","Any = ForcepTipToForcep","mm/s","60.5375"
"Bimanual Dexterity: Translational & Rotational","LeftTool = ForcepTipToForcep, RightTool = DriverTipToDriver","rho","0.05227637635798881	-0.06930616792522057"
"Motion Smoothness","Any = DriverTipToDriver","mm/s^3","399820"
"Motion Smoothness","Any = ForcepTipToForcep","mm/s^3","269210"
"Path Inefficiency","Any = DriverTipToDriver","%","6654.36"
"Path Inefficiency","Any = ForcepTipToForcep","%","4453.72"
"Rotational Actions","Any = DriverTipToDriver","count","34"
"Rotational Actions","Any = ForcepTipToForcep","count","36"
"Rotation Total","Any = DriverTipToDriver","deg","8716.44"
"Rotation Total","Any = ForcepTipToForcep","deg","8684.02"
"Translational Actions","Any = DriverTipToDriver","count","49"
"Translational Actions","Any = ForcepTipToForcep","count","57"
