"MetricName","MetricRoles","MetricUnit","MetricValue"
"Elapsed Time","Any = DriverToReference","s","451.179"
"Elapsed Time","Any = ForcepToReference","s","451.179"
"Path Length","Any = DriverToReference","mm","12571.2"
"Path Length","Any = ForcepToReference","mm","12990.8"
"Elapsed Time","Any = DriverTipToDriver","s","451.179"
"Path Length","Any = DriverTipToDriver","mm","18976.1"
"Elapsed Time","Any = ForcepTipToForcep","s","451.179"
"Path Length","Any = ForcepTipToForcep","mm","14664.3"
"Average Velocity","Any = DriverTipToDriver","mm/s","54.3191"
"Average Velocity","Any = ForcepTipToForcep","mm/s","37.4495"
"Bimanual Dexterity: Translational & Rotational","LeftTool = ForcepTipToForcep, RightTool = DriverTipToDriver","rho","0.012700900811016288	-0.054382678085742577"
"Motion Smoothness","Any = DriverTipToDriver","mm/s^3","604423"
"Motion Smoothness","Any = ForcepTipToForcep","mm/s^3","465142"
"Path Inefficiency","Any = DriverTipToDriver","%","12150.8"
"Path Inefficiency","Any = ForcepTipToForcep","%","18982.7"
"Rotational Actions","Any = DriverTipToDriver","count","67"
"Rotational Actions","Any = ForcepTipToForcep","count","67"
"Rotation Total","Any = DriverTipToDriver","deg","16730.9"
"Rotation Total","Any = ForcepTipToForcep","deg","15897.6"
"Translational Actions","Any = DriverTipToDriver","count","104"
"Translational Actions","Any = ForcepTipToForcep","count","97"
