"MetricName","MetricRoles","MetricUnit","MetricValue"
"Elapsed Time","Any = DriverToReference","s","266.32"
"Elapsed Time","Any = ForcepToReference","s","266.32"
"Path Length","Any = DriverToReference","mm","3044.29"
"Path Length","Any = ForcepToReference","mm","7916.84"
"Elapsed Time","Any = DriverTipToDriver","s","266.32"
"Path Length","Any = DriverTipToDriver","mm","3918.93"
"Elapsed Time","Any = ForcepTipToForcep","s","266.32"
"Path Length","Any = ForcepTipToForcep","mm","11440.3"
"Average Velocity","Any = DriverTipToDriver","mm/s","23.8895"
"Average Velocity","Any = ForcepTipToForcep","mm/s","71.7292"
"Bimanual Dexterity: Translational & Rotational","LeftTool = ForcepTipToForcep, RightTool = DriverTipToDriver","rho","0.05674385530305194	-0.04841578325262378"
"Motion Smoothness","Any = DriverTipToDriver","mm/s^3","297165"
"Motion Smoothness","Any = ForcepTipToForcep","mm/s^3","379392"
"Path Inefficiency","Any = DriverTipToDriver","%","2440.26"
"Path Inefficiency","Any = ForcepTipToForcep","%","6654.81"
"Rotational Actions","Any = DriverTipToDriver","count","12"
"Rotational Actions","Any = ForcepTipToForcep","count","46"
"Rotation Total","Any = DriverTipToDriver","deg","3459.21"
"Rotation Total","Any = ForcepTipToForcep","deg","12596.1"
"Translational Actions","Any = DriverTipToDriver","count","12"
"Translational Actions","Any = ForcepTipToForcep","count","68"
