"MetricName","MetricRoles","MetricUnit","MetricValue"
"Elapsed Time","Any = DriverToReference","s","359.03"
"Elapsed Time","Any = ForcepToReference","s","359.03"
"Path Length","Any = DriverToReference","mm","9828.44"
"Path Length","Any = ForcepToReference","mm","16160.1"
"Elapsed Time","Any = DriverTipToDriver","s","359.03"
"Path Length","Any = DriverTipToDriver","mm","12042.2"
"Elapsed Time","Any = ForcepTipToForcep","s","359.03"
"Path Length","Any = ForcepTipToForcep","mm","14333.5"
"Average Velocity","Any = DriverTipToDriver","mm/s","58.5914"
"Average Velocity","Any = ForcepTipToForcep","mm/s","56.1694"
"Bimanual Dexterity: Translational & Rotational","LeftTool = ForcepTipToForcep, RightTool = DriverTipToDriver","rho","0.04359191625545582	-0.06846928116508214"
"Motion Smoothness","Any = DriverTipToDriver","mm/s^3","640401"
"Motion Smoothness","Any = ForcepTipToForcep","mm/s^3","254146"
"Path Inefficiency","Any = DriverTipToDriver","%","3473.38"
"Path Inefficiency","Any = ForcepTipToForcep","%","2940.93"
"Rotational Actions","Any = DriverTipToDriver","count","35"
"Rotational Actions","Any = ForcepTipToForcep","count","66"
"Rotation Total","Any = DriverTipToDriver","deg","6389.39"
"Rotation Total","Any = ForcepTipToForcep","deg","18735.6"
"Translational Actions","Any = DriverTipToDriver","count","44"
"Translational Actions","Any = ForcepTipToForcep","count","59"
