"MetricName","MetricRoles","MetricUnit","MetricValue"
"Elapsed Time","Any = DriverToReference","s","803.025"
"Elapsed Time","Any = ForcepToReference","s","803.025"
"Path Length","Any = DriverToReference","mm","2624.55"
"Path Length","Any = ForcepToReference","mm","20877.2"
"Elapsed Time","Any = DriverTipToDriver","s","803.025"
"Path Length","Any = DriverTipToDriver","mm","3944.84"
"Elapsed Time","Any = ForcepTipToForcep","s","803.025"
"Path Length","Any = ForcepTipToForcep","mm","26446.3"
"Average Velocity","Any = DriverTipToDriver","mm/s","10.806"
"Average Velocity","Any = ForcepTipToForcep","mm/s","65.9693"
"Bimanual Dexterity: Translational & Rotational","LeftTool = ForcepTipToForcep, RightTool = DriverTipToDriver","rho","0.02300608368948234	-0.027544298313897517"
"Motion Smoothness","Any = DriverTipToDriver","mm/s^3","522764"
"Motion Smoothness","Any = ForcepTipToForcep","mm/s^3","338228"
"Path Inefficiency","Any = DriverTipToDriver","%","2489.23"
"Path Inefficiency","Any = ForcepTipToForcep","%","24860.2"
"Rotational Actions","Any = DriverTipToDriver","count","12"
"Rotational Actions","Any = ForcepTipToForcep","count","100"
"Rotation Total","Any = DriverTipToDriver","deg","2789.66"
"Rotation Total","Any = ForcepTipToForcep","deg","21968.4"
"Translational Actions","Any = DriverTipToDriver","count","21"
"Translational Actions","Any = ForcepTipToForcep","count","149"
