"MetricName","MetricRoles","MetricUnit","MetricValue"
"Elapsed Time","Any = DriverToReference","s","346.796"
"Elapsed Time","Any = ForcepToReference","s","346.796"
"Path Length","Any = DriverToReference","mm","8552.5"
"Path Length","Any = ForcepToReference","mm","18333.1"
"Elapsed Time","Any = DriverTipToDriver","s","346.796"
"Path Length","Any = DriverTipToDriver","mm","11928.6"
"Elapsed Time","Any = ForcepTipToForcep","s","346.796"
"Path Length","Any = ForcepTipToForcep","mm","19582.7"
"Average Velocity","Any = DriverTipToDriver","mm/s","36.1767"
"Average Velocity","Any = ForcepTipToForcep","mm/s","53.5303"
"Bimanual Dexterity: Translational & Rotational","LeftTool = ForcepTipToForcep, RightTool = DriverTipToDriver","rho","0.0897524859813185	-0.05279770079136744"
"Motion Smoothness","Any = DriverTipToDriver","mm/s^3","443781"
"Motion Smoothness","Any = ForcepTipToForcep","mm/s^3","461770"
"Path Inefficiency","Any = DriverTipToDriver","%","8472.61"
"Path Inefficiency","Any = ForcepTipToForcep","%","17220.9"
"Rotational Actions","Any = DriverTipToDriver","count","35"
"Rotational Actions","Any = ForcepTipToForcep","count","84"
"Rotation Total","Any = DriverTipToDriver","deg","7624.23"
"Rotation Total","Any = ForcepTipToForcep","deg","26627.1"
"Translational Actions","Any = DriverTipToDriver","count","29"
"Translational Actions","Any = ForcepTipToForcep","count","84"
