"MetricName","MetricRoles","MetricUnit","MetricValue"
"Elapsed Time","Any = DriverToReference","s","321.344"
"Elapsed Time","Any = ForcepToReference","s","321.344"
"Path Length","Any = DriverToReference","mm","12322.1"
"Path Length","Any = ForcepToReference","mm","19134.2"
"Elapsed Time","Any = DriverTipToDriver","s","321.344"
"Path Length","Any = DriverTipToDriver","mm","15332.8"
"Elapsed Time","Any = ForcepTipToForcep","s","321.344"
"Path Length","Any = ForcepTipToForcep","mm","23700.4"
"Average Velocity","Any = DriverTipToDriver","mm/s","63.2773"
"Average Velocity","Any = ForcepTipToForcep","mm/s","88.441"
"Bimanual Dexterity: Translational & Rotational","LeftTool = ForcepTipToForcep, RightTool = DriverTipToDriver","rho","0.027276287642121057	-0.09841302502045533"
"Motion Smoothness","Any = DriverTipToDriver","mm/s^3","374931"
"Motion Smoothness","Any = ForcepTipToForcep","mm/s^3","477899"
"Path Inefficiency","Any = DriverTipToDriver","%","10285.3"
"Path Inefficiency","Any = ForcepTipToForcep","%","15316.8"
"Rotational Actions","Any = DriverTipToDriver","count","76"
"Rotational Actions","Any = ForcepTipToForcep","count","99"
"Rotation Total","Any = DriverTipToDriver","deg","8940.3"
"Rotation Total","Any = ForcepTipToForcep","deg","18487.9"
"Translational Actions","Any = DriverTipToDriver","count","77"
"Translational Actions","Any = ForcepTipToForcep","count","116"
