"MetricName","MetricRoles","MetricUnit","MetricValue"
"Elapsed Time","Any = DriverToReference","s","238.405"
"Elapsed Time","Any = ForcepToReference","s","238.405"
"Path Length","Any = DriverToReference","mm","2265.54"
"Path Length","Any = ForcepToReference","mm","9007.83"
"Elapsed Time","Any = DriverTipToDriver","s","238.405"
"Path Length","Any = DriverTipToDriver","mm","2873.98"
"Elapsed Time","Any = ForcepTipToForcep","s","238.405"
"Path Length","Any = ForcepTipToForcep","mm","8374.96"
"Average Velocity","Any = DriverTipToDriver","mm/s","17.8306"
"Average Velocity","Any = ForcepTipToForcep","mm/s","57.8684"
"Bimanual Dexterity: Translational & Rotational","LeftTool = ForcepTipToForcep, RightTool = DriverTipToDriver","rho","0.08910997346809654	-0.034528495628023806"
"Motion Smoothness","Any = DriverTipToDriver","mm/s^3","154533"
"Motion Smoothness","Any = ForcepTipToForcep","mm/s^3","256518"
"Path Inefficiency","Any = DriverTipToDriver","%","666.124"
"Path Inefficiency","Any = ForcepTipToForcep","%","6313.58"
"Rotational Actions","Any = DriverTipToDriver","count","11"
"Rotational Actions","Any = ForcepTipToForcep","count","29"
"Rotation Total","Any = DriverTipToDriver","deg","2173.35"
"Rotation Total","Any = ForcepTipToForcep","deg","7374.6"
"Translational Actions","Any = DriverTipToDriver","count","14"
"Translational Actions","Any = ForcepTipToForcep","count","47"
