"MetricName","MetricRoles","MetricUnit","MetricValue"
"Elapsed Time","Any = DriverToReference","s","514.391"
"Elapsed Time","Any = ForcepToReference","s","514.391"
"Path Length","Any = DriverToReference","mm","2935.51"
"Path Length","Any = ForcepToReference","mm","19767.3"
"Elapsed Time","Any = DriverTipToDriver","s","514.391"
"Path Length","Any = DriverTipToDriver","mm","4173.38"
"Elapsed Time","Any = ForcepTipToForcep","s","514.391"
"Path Length","Any = ForcepTipToForcep","mm","27574.8"
"Average Velocity","Any = DriverTipToDriver","mm/s","12.1358"
"Average Velocity","Any = ForcepTipToForcep","mm/s","74.3048"
"Bimanual Dexterity: Translational & Rotational","LeftTool = ForcepTipToForcep, RightTool = DriverTipToDriver","rho","-0.016167290939146883	-0.033309004856598545"
"Motion Smoothness","Any = DriverTipToDriver","mm/s^3","390003"
"Motion Smoothness","Any = ForcepTipToForcep","mm/s^3","387771"
"Path Inefficiency","Any = DriverTipToDriver","%","1996.87"
"Path Inefficiency","Any = ForcepTipToForcep","%","20141.4"
"Rotational Actions","Any = DriverTipToDriver","count","16"
"Rotational Actions","Any = ForcepTipToForcep","count","122"
"Rotation Total","Any = DriverTipToDriver","deg","3332.32"
"Rotation Total","Any = ForcepTipToForcep","deg","24969.4"
"Translational Actions","Any = DriverTipToDriver","count","18"
"Translational Actions","Any = ForcepTipToForcep","count","139"
