"MetricName","MetricRoles","MetricUnit","MetricValue"
"Elapsed Time","Any = DriverToReference","s","353.86"
"Elapsed Time","Any = ForcepToReference","s","353.86"
"Path Length","Any = DriverToReference","mm","6150.63"
"Path Length","Any = ForcepToReference","mm","7191.23"
"Elapsed Time","Any = DriverTipToDriver","s","353.86"
"Path Length","Any = DriverTipToDriver","mm","8254.84"
"Elapsed Time","Any = ForcepTipToForcep","s","353.86"
"Path Length","Any = ForcepTipToForcep","mm","8753.73"
"Average Velocity","Any = DriverTipToDriver","mm/s","28.4943"
"Average Velocity","Any = ForcepTipToForcep","mm/s","26.8238"
"Bimanual Dexterity: Translational & Rotational","LeftTool = ForcepTipToForcep, RightTool = DriverTipToDriver","rho","0.06832740938171535	-0.031335848478730145"
"Motion Smoothness","Any = DriverTipToDriver","mm/s^3","513221"
"Motion Smoothness","Any = ForcepTipToForcep","mm/s^3","143773"
"Path Inefficiency","Any = DriverTipToDriver","%","1326.05"
"Path Inefficiency","Any = ForcepTipToForcep","%","2685.9"
"Rotational Actions","Any = DriverTipToDriver","count","19"
"Rotational Actions","Any = ForcepTipToForcep","count","45"
"Rotation Total","Any = DriverTipToDriver","deg","4787.95"
"Rotation Total","Any = ForcepTipToForcep","deg","8999.92"
"Translational Actions","Any = DriverTipToDriver","count","31"
"Translational Actions","Any = ForcepTipToForcep","count","58"
